Naam,Aantal,Categorie,Artikelnummer,Minimum,Prijs,Inkoopprijs,Locatie,Leverancier,Notities
V20 accu,1,Accu,,,,,,
Voorvork,5,Onderdelen,,,,,,
Ketting,6,Onderdelen,,,,,,
Remblokken,50,Remmen,,,,,,
Logan remmenset LINKS,20,Remmen,,,,,,
Logan remmenset RECHTS,20,Remmen,,,,,,
H6C display,14,Display,,,,,,
Motortandwiel 36T (500W),5,Motor,,,,,,
Trapkrachtsensor,70,Sensor,,,,,,
Accurail,5,Onderdelen,,,,,,
Verende schokdemper,5,Onderdelen,,,,,,
Trapas,4,Onderdelen,,,,,,
Mini buitenband,30,Banden,,,,,,
Mini binnenband,60,Banden,,,,,,
Logan hydraulische rem (voor),50,Remmen,,,,,,
Logan hydraulische rem links/rechts,100,Remmen,,,,,,
Rubberen handvatsets,10,Onderdelen,,,,,,
V8 accu-laadpoort,5,Accu,,,,,,
Accuslot,10,Accu,,,,,,

